"Title","Authors","Description","Rating","ISBN","Issued","shelf_no","section"
"Oracle 9i","Michael Abbey, Michael J. Corey, Ian Abramson","The Oracle server. Database objects. Oracle enterprise manager. Distributed computing. Forms and reports overview. Partitioning data.",5,"9780072192797",True,22,"E"
"Network Management Know It All","Sebastian Abeck","Network management refers to the activities, methods, procedures, and tools that pertain to the operation, administration, maintenance, and provisioning of networked systems, which includes controlling, planning, allocating, deploying, coordinating, and monitoring the resources of a network. This book brings all of the elements of network management together in a single volume, saving the reader the time and expense of making multiple purchases. It introduces network management, explains the basics, describes the protocols, and discusses advanced topics, by the best and brightest experts in the field. It is a quick and efficient way to bring valuable content together from leading experts in the field while creating a one-stop-shopping opportunity for customers to receive the information they would otherwise need to round up from separate sources. * Chapters contributed by recognized experts in the field cover theory and practice of network management, allowing the reader to develop a new level of knowledge and technical expertise. * This book's up-to-date coverage of network quality of service issues facilitates learning and lets the reader remain current and fully informed from multiple viewpoints. * Presents methods of analysis and problem-solving techniques, enhancing the reader's grasp of the material and ability to implement practical solutions. * Use of examples illustrate core network management concepts for enhanced comprehension.","Rating not available","9780123745989",False,17,"A"
"Network Management Know It All","Sebastian Abeck","Network management refers to the activities, methods, procedures, and tools that pertain to the operation, administration, maintenance, and provisioning of networked systems, which includes controlling, planning, allocating, deploying, coordinating, and monitoring the resources of a network. This book brings all of the elements of network management together in a single volume, saving the reader the time and expense of making multiple purchases. It introduces network management, explains the basics, describes the protocols, and discusses advanced topics, by the best and brightest experts in the field. It is a quick and efficient way to bring valuable content together from leading experts in the field while creating a one-stop-shopping opportunity for customers to receive the information they would otherwise need to round up from separate sources. * Chapters contributed by recognized experts in the field cover theory and practice of network management, allowing the reader to develop a new level of knowledge and technical expertise. * This book's up-to-date coverage of network quality of service issues facilitates learning and lets the reader remain current and fully informed from multiple viewpoints. * Presents methods of analysis and problem-solving techniques, enhancing the reader's grasp of the material and ability to implement practical solutions. * Use of examples illustrate core network management concepts for enhanced comprehension.","Rating not available","9780123745989",True,29,"A"
"Network Management Know It All","Sebastian Abeck","Network management refers to the activities, methods, procedures, and tools that pertain to the operation, administration, maintenance, and provisioning of networked systems, which includes controlling, planning, allocating, deploying, coordinating, and monitoring the resources of a network. This book brings all of the elements of network management together in a single volume, saving the reader the time and expense of making multiple purchases. It introduces network management, explains the basics, describes the protocols, and discusses advanced topics, by the best and brightest experts in the field. It is a quick and efficient way to bring valuable content together from leading experts in the field while creating a one-stop-shopping opportunity for customers to receive the information they would otherwise need to round up from separate sources. * Chapters contributed by recognized experts in the field cover theory and practice of network management, allowing the reader to develop a new level of knowledge and technical expertise. * This book's up-to-date coverage of network quality of service issues facilitates learning and lets the reader remain current and fully informed from multiple viewpoints. * Presents methods of analysis and problem-solving techniques, enhancing the reader's grasp of the material and ability to implement practical solutions. * Use of examples illustrate core network management concepts for enhanced comprehension.","Rating not available","9780123745989",True,14,"A"
"Ibm Pc Assembly Language And Programming 5Th Ed.","Abel","Description not available","Rating not available","9788120320949",False,14,"E"
"Ibm Pc Assembly Language And Programming 5Th Ed.","Abel","Description not available","Rating not available","9788120320949",True,31,"B"
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",True,13,"C"
"IBM PC Assembly Language and Programming","Peter Abel","This third edition includes major revision of chapters on disk organization and processing. More front-end explanations, full details on use of mouse programming, and expanded material on DOS interrupts are also included. Updated for latest version of DOS and Microsoft Assembler.","Rating not available","ISBN not available",False,21,"E"
"IBM PC Assembly Language and Programming","Peter Abel","This third edition includes major revision of chapters on disk organization and processing. More front-end explanations, full details on use of mouse programming, and expanded material on DOS interrupts are also included. Updated for latest version of DOS and Microsoft Assembler.","Rating not available","ISBN not available",True,13,"D"
"IBM PC Assembly Language and Programming","Peter Abel","This third edition includes major revision of chapters on disk organization and processing. More front-end explanations, full details on use of mouse programming, and expanded material on DOS interrupts are also included. Updated for latest version of DOS and Microsoft Assembler.","Rating not available","ISBN not available",False,23,"A"
